,Source,Destination,Features
0,4096:loc_1000,6448:loc_1930,
1,4096:loc_1000,6448:loc_1930,
2,4096:loc_1000,6448:loc_1930,
3,4096:loc_1014,6463:loc_193F,
4,4096:loc_1014,6463:loc_193F,
5,4096:loc_1014,6463:loc_193F,
6,4096:loc_1016,6463:loc_193F,
7,4096:loc_1016,6463:loc_193F,
8,4128:loc_1020,6478:loc_194E,
9,4128:loc_1020,6504:loc_1968,
10,4128:loc_1020,6537:loc_1989,
11,4128:loc_1020,6816:loc_1AA0,
12,4128:loc_1020,6816:loc_1AA0,
13,4128:loc_1020,6816:loc_1AA0,
14,4128:loc_1020,6824:loc_1AA8,
15,4128:loc_1020,6824:loc_1AA8,
16,4128:loc_1020,16440:loc_4038,
17,4128:loc_1020,16440:loc_4038,
18,4128:loc_1020,16440:loc_4038,
19,4128:loc_1020,16440:loc_4038,
20,4128:loc_1020,16448:loc_4040,
21,4144:loc_1030,16448:loc_4040,
22,4160:loc_1040,16472:loc_4058,
23,4176:loc_1050,16480:loc_4060,
24,4192:loc_1060,16488:loc_4068,
25,4208:loc_1070,16496:loc_4070,
26,4224:loc_1080,16504:loc_4078,
27,4240:loc_1090,16512:loc_4080,
28,4256:loc_10A0,16520:loc_4088,
29,4272:loc_10B0,16528:loc_4090,
30,4288:loc_10C0,16536:loc_4098,
31,4304:loc_10D0,16552:loc_40A8,
